#Time,pitch(deg),roll(deg),yaw(deg),X-Acceleration(g),Y-Acceleration(g),Z-Acceleration(g),Pressure(Millibars),Temperature(deg C),Humidity(%)
0.145,-0.070,2.169,-132.429,0.988,0.041,0.007,1031.230,33.223,40.331
0.181,-0.086,2.173,-132.393,0.991,0.041,0.006,1031.231,33.223,40.331
0.216,-0.096,2.179,-132.372,0.986,0.042,0.010,1031.231,33.041,40.010
0.247,-0.106,2.183,-132.361,0.987,0.040,0.008,1031.229,33.041,40.010
0.282,-0.121,2.194,-132.341,0.994,0.040,0.003,1031.231,33.041,40.010
0.318,-0.130,2.200,-132.334,0.992,0.038,0.002,1031.239,33.041,40.010
0.351,-0.134,2.201,-132.341,0.993,0.044,0.008,1031.242,33.168,40.141
0.386,-0.138,2.207,-132.335,0.989,0.040,0.011,1031.242,33.168,40.141
0.417,-0.149,2.209,-132.320,0.995,0.041,0.005,1031.242,33.168,40.141
0.452,-0.160,2.219,-132.300,0.993,0.038,0.001,1031.242,33.168,40.141
0.489,-0.167,2.223,-132.297,0.990,0.042,0.007,1031.244,33.186,40.766
0.520,-0.174,2.224,-132.299,0.988,0.042,0.009,1031.242,33.186,40.766
0.556,-0.180,2.227,-132.299,0.992,0.041,0.009,1031.237,33.186,40.766
0.586,-0.192,2.236,-132.278,0.990,0.040,0.003,1031.237,33.186,40.766
0.623,-0.199,2.241,-132.272,0.992,0.038,0.001,1031.238,33.168,40.814
0.658,-0.202,2.243,-132.273,0.989,0.044,0.009,1031.236,33.168,40.814
0.689,-0.210,2.253,-132.262,0.988,0.042,0.011,1031.232,33.168,40.814
0.726,-0.220,2.255,-132.255,0.992,0.040,0.004,1031.231,33.223,41.661
0.759,-0.225,2.264,-132.248,0.993,0.039,0.003,1031.228,33.223,41.661
0.790,-0.229,2.266,-132.243,0.993,0.041,0.007,1031.228,33.223,41.661
0.825,-0.233,2.273,-132.240,0.992,0.041,0.011,1031.226,33.223,41.661
0.861,-0.236,2.273,-132.241,0.991,0.038,0.007,1031.222,33.259,40.540
0.895,-0.245,2.276,-132.229,0.996,0.040,0.004,1031.216,33.259,40.540
0.934,-0.251,2.280,-132.218,0.991,0.039,0.002,1031.216,33.259,40.540
0.980,-0.247,2.281,-132.237,0.994,0.039,0.009,1031.213,33.259,40.540
1.031,-0.260,2.277,-132.233,0.988,0.042,0.010,1031.211,33.168,40.602
1.073,-0.271,2.282,-132.209,0.995,0.045,0.002,1031.209,33.168,40.602
1.120,-0.264,2.293,-132.219,0.989,0.039,0.005,1031.208,33.114,39.787
1.152,-0.266,2.291,-132.237,0.993,0.043,0.002,1031.212,33.114,39.787
1.184,-0.266,2.294,-132.252,0.988,0.042,0.010,1031.219,33.114,39.787
1.219,-0.270,2.298,-132.254,0.989,0.041,0.011,1031.226,33.114,39.787
1.252,-0.275,2.300,-132.249,0.987,0.041,0.007,1031.228,33.186,40.452
1.287,-0.284,2.306,-132.228,0.994,0.038,0.002,1031.226,33.186,40.452
1.317,-0.285,2.302,-132.235,0.989,0.041,0.008,1031.226,33.186,40.452
1.352,-0.287,2.303,-132.230,0.990,0.042,0.011,1031.228,33.186,40.452
1.401,-0.291,2.303,-132.226,0.993,0.039,0.008,1031.224,33.114,40.773
1.439,-0.292,2.300,-132.224,0.988,0.042,0.011,1031.221,33.114,40.773
1.474,-0.295,2.306,-132.215,0.991,0.040,0.007,1031.220,33.114,40.773
1.506,-0.303,2.306,-132.206,0.994,0.039,0.003,1031.218,33.114,40.773
1.543,-0.302,2.306,-132.207,0.989,0.041,0.006,1031.218,33.168,39.991
1.574,-0.302,2.303,-132.204,0.989,0.042,0.009,1031.217,33.168,39.991
1.609,-0.305,2.304,-132.200,0.992,0.041,0.008,1031.213,33.168,39.991
1.641,-0.307,2.308,-132.182,0.989,0.041,0.006,1031.213,33.096,40.061
1.677,-0.316,2.312,-132.164,0.991,0.039,0.002,1031.211,33.096,40.061
1.712,-0.317,2.312,-132.164,0.986,0.043,0.009,1031.209,33.096,40.061
1.743,-0.320,2.314,-132.152,0.989,0.042,0.010,1031.212,33.096,40.061
1.780,-0.324,2.316,-132.138,0.994,0.039,0.007,1031.208,33.168,41.384
1.811,-0.333,2.317,-132.121,0.992,0.038,0.002,1031.214,33.168,41.384
1.846,-0.331,2.314,-132.120,0.990,0.040,0.005,1031.214,33.168,41.384
1.886,-0.331,2.313,-132.114,0.987,0.040,0.010,1031.215,33.168,41.384
1.927,-0.339,2.314,-132.090,0.994,0.038,0.002,1031.216,33.096,41.183
1.965,-0.333,2.310,-132.104,0.989,0.041,0.009,1031.214,33.096,41.183
2.005,-0.333,2.314,-132.096,0.994,0.039,0.006,1031.216,33.096,41.183
2.042,-0.335,2.309,-132.097,0.993,0.043,0.002,1031.214,33.168,39.915
2.077,-0.331,2.312,-132.100,0.991,0.041,0.009,1031.216,33.168,39.915
2.110,-0.332,2.310,-132.096,0.994,0.041,0.008,1031.216,33.168,39.915
2.148,-0.338,2.317,-132.074,0.994,0.039,0.003,1031.218,33.168,39.915
2.188,-0.339,2.314,-132.067,0.987,0.042,0.010,1031.220,33.204,40.795
2.225,-0.338,2.318,-132.058,0.993,0.039,0.008,1031.218,33.204,40.795
2.261,-0.343,2.314,-132.051,0.994,0.042,0.002,1031.222,33.204,40.795
2.302,-0.333,2.318,-132.063,0.986,0.040,0.010,1031.221,33.150,40.525
2.332,-0.342,2.323,-132.042,0.993,0.040,0.007,1031.221,33.150,40.525
2.364,-0.346,2.327,-132.027,0.993,0.040,0.002,1031.223,33.150,40.525
2.400,-0.346,2.328,-132.026,0.990,0.040,0.003,1031.219,33.150,40.525
2.436,-0.343,2.327,-132.037,0.987,0.042,0.010,1031.213,33.168,40.072
2.472,-0.344,2.332,-132.035,0.992,0.039,0.009,1031.213,33.168,40.072
2.506,-0.346,2.330,-132.032,0.994,0.041,0.005,1031.204,33.168,40.072
2.540,-0.351,2.327,-132.026,0.992,0.042,0.003,1031.204,33.168,40.072
2.573,-0.343,2.328,-132.040,0.988,0.040,0.009,1031.202,33.096,40.046
2.605,-0.344,2.330,-132.043,0.990,0.040,0.010,1031.207,33.096,40.046
2.636,-0.348,2.331,-132.041,0.991,0.040,0.004,1031.208,33.096,40.046
2.672,-0.351,2.334,-132.037,0.995,0.038,0.002,1031.212,33.096,40.046
2.703,-0.351,2.332,-132.042,0.994,0.041,0.008,1031.212,33.186,40.393
2.738,-0.352,2.331,-132.039,0.993,0.041,0.009,1031.214,33.186,40.393
2.781,-0.351,2.326,-132.042,0.991,0.038,0.006,1031.216,33.186,40.393
2.822,-0.354,2.323,-132.044,0.990,0.041,0.007,1031.216,33.168,40.361
2.862,-0.354,2.325,-132.049,0.993,0.040,0.006,1031.217,33.168,40.361
2.894,-0.356,2.323,-132.043,0.993,0.037,0.001,1031.216,33.168,40.361
2.925,-0.354,2.315,-132.048,0.993,0.041,0.006,1031.214,33.168,40.361
2.962,-0.352,2.316,-132.047,0.987,0.042,0.011,1031.208,33.041,39.670
2.993,-0.354,2.314,-132.038,0.989,0.040,0.008,1031.212,33.041,39.670
3.027,-0.358,2.317,-132.013,0.994,0.039,0.004,1031.212,33.041,39.670
3.062,-0.361,2.318,-131.995,0.992,0.039,0.004,1031.213,33.041,39.670
3.103,-0.359,2.316,-131.991,0.987,0.041,0.010,1031.214,33.168,40.558
3.141,-0.364,2.320,-131.970,0.994,0.041,0.004,1031.214,33.168,40.558
3.172,-0.366,2.320,-131.967,0.990,0.040,0.004,1031.214,33.168,40.558
3.209,-0.362,2.320,-131.972,0.990,0.045,0.010,1031.209,33.168,40.558
3.241,-0.361,2.329,-131.962,0.990,0.040,0.008,1031.211,33.186,39.882
3.276,-0.362,2.331,-131.959,0.995,0.040,0.005,1031.210,33.186,39.882
3.306,-0.362,2.336,-131.957,0.995,0.038,0.001,1031.210,33.186,39.882
3.342,-0.358,2.330,-131.971,0.992,0.043,0.008,1031.215,33.132,40.733
3.379,-0.357,2.332,-131.967,0.988,0.040,0.009,1031.214,33.132,40.733
3.411,-0.360,2.331,-131.964,0.994,0.040,0.007,1031.214,33.132,40.733
3.446,-0.364,2.335,-131.955,0.993,0.038,0.001,1031.217,33.132,40.733
3.478,-0.362,2.332,-131.964,0.994,0.041,0.006,1031.217,33.277,40.339
3.513,-0.360,2.333,-131.975,0.986,0.042,0.009,1031.217,33.277,40.339
3.548,-0.356,2.332,-131.983,0.992,0.040,0.010,1031.219,33.277,40.339
3.579,-0.360,2.331,-131.974,0.989,0.040,0.004,1031.218,33.277,40.339
3.617,-0.361,2.335,-131.971,0.991,0.038,0.002,1031.223,33.150,40.963
3.648,-0.353,2.331,-131.991,0.990,0.043,0.010,1031.224,33.150,40.963
3.684,-0.353,2.335,-131.992,0.990,0.041,0.010,1031.226,33.150,40.963
3.714,-0.352,2.336,-131.993,0.987,0.041,0.006,1031.226,33.150,40.963
3.750,-0.355,2.341,-131.990,0.991,0.039,0.002,1031.225,33.114,41.044
3.786,-0.354,2.339,-131.996,0.990,0.042,0.008,1031.225,33.114,41.044
3.817,-0.353,2.341,-131.997,0.993,0.043,0.011,1031.231,33.114,41.044
3.856,-0.354,2.339,-131.999,0.991,0.039,0.008,1031.232,33.114,41.044
3.896,-0.358,2.337,-131.998,0.996,0.040,0.003,1031.230,33.204,40.368
3.931,-0.351,2.334,-132.017,0.987,0.043,0.010,1031.228,33.204,40.368
3.966,-0.351,2.337,-132.008,0.992,0.040,0.008,1031.228,33.204,40.368
4.006,-0.357,2.334,-132.000,0.990,0.039,0.005,1031.229,33.096,39.356
4.042,-0.358,2.332,-132.009,0.986,0.043,0.010,1031.231,33.096,39.356
4.074,-0.358,2.337,-132.006,0.990,0.041,0.009,1031.227,33.096,39.356
4.109,-0.362,2.338,-131.998,0.994,0.040,0.006,1031.227,33.096,39.356
4.142,-0.366,2.342,-131.988,0.993,0.038,0.002,1031.226,33.078,38.968
4.178,-0.362,2.340,-131.995,0.989,0.043,0.009,1031.225,33.078,38.968
4.208,-0.365,2.345,-131.990,0.987,0.039,0.010,1031.225,33.078,38.968
4.243,-0.365,2.341,-131.998,0.994,0.040,0.007,1031.223,33.078,38.968
4.280,-0.369,2.343,-131.980,0.995,0.039,0.002,1031.229,33.168,40.419
4.312,-0.367,2.343,-131.972,0.990,0.042,0.005,1031.226,33.168,40.419
4.347,-0.365,2.346,-131.970,0.987,0.042,0.010,1031.224,33.168,40.419
4.378,-0.363,2.346,-131.971,0.987,0.042,0.008,1031.225,33.168,40.419
4.414,-0.369,2.351,-131.957,0.993,0.039,0.004,1031.225,33.204,40.291
4.449,-0.370,2.350,-131.957,0.991,0.038,0.003,1031.219,33.204,40.291
4.480,-0.366,2.346,-131.962,0.994,0.042,0.009,1031.219,33.204,40.291
4.516,-0.365,2.346,-131.960,0.989,0.041,0.011,1031.223,33.204,40.291
4.552,-0.369,2.345,-131.955,0.994,0.040,0.007,1031.220,33.168,41.731
4.584,-0.373,2.343,-131.948,0.996,0.038,0.002,1031.225,33.168,41.731
4.618,-0.370,2.338,-131.952,0.989,0.041,0.006,1031.225,33.168,41.731
4.655,-0.367,2.337,-131.953,0.989,0.042,0.009,1031.219,33.132,40.200
4.689,-0.364,2.345,-131.946,0.990,0.040,0.009,1031.222,33.132,40.200
4.720,-0.370,2.345,-131.934,0.994,0.038,0.004,1031.221,33.132,40.200
4.755,-0.372,2.339,-131.933,0.990,0.037,0.003,1031.222,33.132,40.200
4.788,-0.370,2.338,-131.939,0.993,0.043,0.009,1031.221,33.059,39.714
4.823,-0.370,2.342,-131.933,0.990,0.041,0.009,1031.221,33.059,39.714
4.854,-0.370,2.342,-131.920,0.988,0.039,0.007,1031.221,33.059,39.714
4.889,-0.376,2.342,-131.906,0.993,0.039,0.001,1031.224,33.059,39.714
4.930,-0.376,2.340,-131.917,0.989,0.042,0.008,1031.223,33.150,39.447
4.969,-0.373,2.339,-131.919,0.992,0.040,0.006,1031.221,33.150,39.447
5.001,-0.373,2.340,-131.914,0.993,0.037,0.001,1031.218,33.150,39.447
5.034,-0.372,2.338,-131.922,0.995,0.042,0.007,1031.218,33.150,39.447
5.070,-0.371,2.336,-131.923,0.992,0.042,0.010,1031.212,33.114,38.954
5.102,-0.372,2.342,-131.907,0.993,0.039,0.008,1031.212,33.114,38.954
5.140,-0.374,2.340,-131.882,0.994,0.041,0.004,1031.208,33.114,38.954
5.183,-0.377,2.339,-131.866,0.987,0.042,0.010,1031.204,33.132,39.940
5.219,-0.373,2.346,-131.847,0.991,0.040,0.008,1031.209,33.132,39.940
5.261,-0.378,2.341,-131.823,0.992,0.042,0.003,1031.207,33.132,39.940
5.322,-0.372,2.345,-131.827,0.989,0.042,0.001,1031.201,33.168,39.900
5.376,-0.372,2.342,-131.839,0.992,0.038,0.003,1031.203,33.168,39.900
5.431,-0.368,2.343,-131.856,0.993,0.042,0.002,1031.204,33.168,39.900
5.476,-0.362,2.343,-131.867,0.995,0.039,0.006,1031.204,33.186,40.591
5.511,-0.362,2.341,-131.869,0.987,0.043,0.008,1031.204,33.186,40.591
5.548,-0.361,2.342,-131.860,0.990,0.041,0.010,1031.207,33.186,40.591
5.591,-0.362,2.343,-131.848,0.990,0.037,0.001,1031.203,33.168,40.371
5.622,-0.361,2.335,-131.863,0.987,0.042,0.009,1031.199,33.168,40.371
5.654,-0.362,2.335,-131.867,0.989,0.041,0.009,1031.205,33.168,40.371
5.689,-0.362,2.334,-131.866,0.994,0.040,0.006,1031.202,33.168,40.371
5.725,-0.368,2.339,-131.849,0.994,0.039,0.002,1031.205,33.168,39.809
5.756,-0.368,2.338,-131.853,0.991,0.042,0.006,1031.205,33.168,39.809
5.793,-0.368,2.341,-131.853,0.987,0.043,0.011,1031.210,33.168,39.809
5.836,-0.368,2.348,-131.848,0.993,0.039,0.009,1031.209,33.204,40.138
5.873,-0.376,2.345,-131.840,0.992,0.041,0.006,1031.211,33.204,40.138
5.918,-0.371,2.346,-131.860,0.987,0.038,0.009,1031.207,33.204,40.138
5.970,-0.371,2.345,-131.864,0.991,0.039,0.009,1031.206,33.150,39.966
6.021,-0.371,2.344,-131.867,0.987,0.041,0.009,1031.204,33.150,39.966
6.073,-0.373,2.347,-131.857,0.988,0.040,0.007,1031.200,33.150,39.966
6.135,-0.372,2.342,-131.866,0.992,0.040,0.009,1031.200,33.204,40.664
6.173,-0.376,2.340,-131.862,0.996,0.041,0.003,1031.201,33.204,40.664
6.211,-0.370,2.340,-131.879,0.988,0.042,0.012,1031.197,33.204,40.664
6.260,-0.371,2.341,-131.882,0.994,0.042,0.001,1031.195,33.186,40.419
6.304,-0.362,2.343,-131.905,0.992,0.039,0.005,1031.201,33.186,40.419
6.349,-0.363,2.340,-131.922,0.992,0.043,0.009,1031.204,33.186,40.419
6.400,-0.371,2.347,-131.914,0.990,0.039,0.003,1031.206,33.150,40.678
6.436,-0.364,2.347,-131.950,0.994,0.039,0.008,1031.209,33.150,40.678
6.471,-0.371,2.347,-131.955,0.992,0.038,0.003,1031.209,33.150,40.678
6.512,-0.372,2.346,-131.969,0.990,0.042,0.006,1031.203,33.241,39.750
6.557,-0.367,2.344,-131.970,0.993,0.037,0.006,1031.210,33.241,39.750
6.601,-0.370,2.340,-131.961,0.989,0.041,0.008,1031.211,33.241,39.750
6.650,-0.369,2.341,-131.948,0.995,0.038,0.003,1031.210,33.204,39.937
6.713,-0.367,2.343,-131.944,0.990,0.042,0.010,1031.210,33.204,39.937
6.752,-0.372,2.350,-131.932,0.994,0.039,0.007,1031.209,33.204,39.315
6.787,-0.373,2.345,-131.940,0.990,0.044,0.009,1031.210,33.204,39.315
6.822,-0.371,2.350,-131.939,0.991,0.041,0.010,1031.209,33.204,39.315
6.856,-0.371,2.353,-131.936,0.995,0.038,0.006,1031.209,33.204,39.315
6.905,-0.369,2.347,-131.939,0.988,0.040,0.010,1031.219,33.150,40.013
6.956,-0.371,2.348,-131.937,0.991,0.042,0.004,1031.217,33.150,40.013
7.015,-0.361,2.352,-131.958,0.993,0.039,0.001,1031.216,33.241,39.199
7.066,-0.355,2.351,-131.973,0.992,0.039,0.005,1031.217,33.241,39.199
7.114,-0.351,2.342,-131.993,0.993,0.039,0.008,1031.215,33.241,39.199
7.159,-0.350,2.339,-132.000,0.987,0.041,0.011,1031.222,33.186,40.415
7.195,-0.361,2.345,-131.974,0.993,0.038,0.002,1031.222,33.186,40.415
7.231,-0.359,2.344,-131.979,0.991,0.042,0.008,1031.225,33.186,40.415
7.267,-0.358,2.342,-131.976,0.987,0.039,0.010,1031.224,33.259,40.415
7.311,-0.364,2.342,-131.951,0.993,0.042,0.003,1031.231,33.259,40.171
7.356,-0.359,2.340,-131.962,0.991,0.040,0.009,1031.230,33.259,40.171
7.394,-0.367,2.341,-131.949,0.993,0.044,0.001,1031.230,33.259,40.171
7.455,-0.356,2.346,-131.962,0.994,0.040,0.004,1031.229,33.114,40.156
7.495,-0.356,2.343,-131.982,0.994,0.039,0.007,1031.227,33.114,40.156
7.527,-0.359,2.340,-131.985,0.993,0.038,0.003,1031.231,33.114,40.156
7.560,-0.356,2.340,-131.989,0.990,0.042,0.005,1031.231,33.168,41.618
7.590,-0.353,2.341,-131.988,0.991,0.042,0.010,1031.231,33.168,41.618
7.626,-0.352,2.340,-131.993,0.987,0.039,0.009,1031.230,33.168,41.618
7.662,-0.356,2.342,-131.984,0.995,0.040,0.004,1031.229,33.223,39.484
7.694,-0.358,2.344,-131.978,0.994,0.039,0.002,1031.232,33.223,39.484
7.729,-0.354,2.340,-131.991,0.987,0.043,0.011,1031.233,33.223,39.484
7.764,-0.354,2.341,-131.994,0.991,0.040,0.010,1031.234,33.223,39.484
7.801,-0.358,2.341,-131.994,0.994,0.040,0.006,1031.235,33.150,40.094
7.831,-0.362,2.339,-132.000,0.994,0.039,0.001,1031.235,33.150,40.094
7.873,-0.360,2.335,-132.019,0.990,0.042,0.007,1031.230,33.150,40.094
7.928,-0.356,2.338,-132.029,0.993,0.038,0.002,1031.228,33.313,40.233
7.977,-0.357,2.341,-132.038,0.990,0.040,0.003,1031.228,33.313,40.233
8.027,-0.353,2.338,-132.054,0.993,0.040,0.007,1031.227,33.313,40.233
8.087,-0.357,2.337,-132.058,0.989,0.039,0.009,1031.225,33.241,40.233
8.132,-0.359,2.337,-132.055,0.987,0.041,0.010,1031.225,33.241,40.233
8.178,-0.368,2.330,-132.045,0.988,0.042,0.007,1031.221,33.241,40.233
8.230,-0.368,2.334,-132.032,0.992,0.039,0.003,1031.219,33.204,40.565
8.272,-0.359,2.329,-132.053,0.993,0.040,0.008,1031.217,33.204,40.565
8.316,-0.366,2.328,-132.044,0.990,0.040,0.005,1031.219,33.204,40.565
8.367,-0.366,2.328,-132.029,0.994,0.043,0.003,1031.218,33.259,39.586
8.407,-0.357,2.329,-132.032,0.990,0.040,0.011,1031.216,33.259,39.586
8.445,-0.368,2.332,-132.011,0.992,0.039,0.002,1031.216,33.259,39.586
8.492,-0.361,2.328,-132.026,0.991,0.040,0.009,1031.210,33.223,39.403
8.530,-0.368,2.328,-132.010,0.991,0.040,0.005,1031.210,33.223,39.403
8.574,-0.365,2.325,-132.011,0.992,0.039,0.008,1031.211,33.223,39.403
8.619,-0.367,2.323,-132.011,0.989,0.042,0.005,1031.205,33.204,40.898
8.660,-0.362,2.323,-132.025,0.988,0.039,0.009,1031.206,33.204,40.898
8.704,-0.370,2.320,-132.023,0.987,0.044,0.009,1031.206,33.204,40.898
8.759,-0.376,2.328,-132.012,0.993,0.039,0.003,1031.205,33.150,38.676
8.809,-0.364,2.333,-132.018,0.995,0.040,0.002,1031.203,33.150,38.676
8.874,-0.353,2.330,-132.029,0.989,0.041,0.010,1031.204,33.186,39.831
8.916,-0.362,2.340,-132.005,0.994,0.043,0.001,1031.204,33.186,39.831
8.956,-0.352,2.342,-132.010,0.989,0.043,0.010,1031.202,33.186,39.831
8.999,-0.354,2.346,-132.001,0.995,0.039,0.001,1031.203,33.132,40.795
9.041,-0.351,2.342,-132.012,0.991,0.040,0.011,1031.202,33.132,40.795
9.083,-0.353,2.347,-132.009,0.993,0.038,0.005,1031.203,33.132,40.795
9.135,-0.353,2.341,-132.024,0.991,0.040,0.009,1031.204,33.041,40.043
9.191,-0.360,2.345,-132.016,0.996,0.039,0.009,1031.209,33.041,40.043
9.252,-0.360,2.340,-132.032,0.993,0.039,0.009,1031.210,33.186,39.527
9.308,-0.364,2.335,-132.034,0.991,0.043,0.001,1031.206,33.186,39.527
9.347,-0.352,2.335,-132.054,0.991,0.040,0.010,1031.208,33.186,39.527
9.383,-0.357,2.334,-132.047,0.995,0.040,0.004,1031.208,33.096,40.419
9.419,-0.354,2.333,-132.053,0.991,0.042,0.001,1031.211,33.096,40.419
9.457,-0.342,2.335,-132.070,0.992,0.040,0.010,1031.217,33.096,40.419
9.492,-0.346,2.335,-132.064,0.996,0.041,0.006,1031.225,33.096,40.419
9.524,-0.355,2.334,-132.054,0.992,0.039,-0.000,1031.227,33.059,41.219
9.556,-0.349,2.331,-132.068,0.994,0.042,0.009,1031.228,33.059,41.219
9.592,-0.351,2.332,-132.064,0.990,0.042,0.012,1031.231,33.059,41.219
9.627,-0.356,2.332,-132.048,0.993,0.040,0.006,1031.231,33.114,40.324
9.659,-0.360,2.330,-132.039,0.993,0.039,0.001,1031.229,33.114,40.324
9.694,-0.356,2.325,-132.047,0.989,0.040,0.005,1031.230,33.114,40.324
9.729,-0.355,2.326,-132.048,0.989,0.042,0.011,1031.236,33.114,40.324
9.761,-0.354,2.326,-132.054,0.986,0.040,0.008,1031.237,33.223,40.697
9.797,-0.357,2.331,-132.037,0.995,0.040,0.002,1031.238,33.223,40.697
9.827,-0.356,2.332,-132.044,0.993,0.040,0.003,1031.238,33.223,40.697
9.863,-0.355,2.335,-132.044,0.988,0.045,0.009,1031.235,33.223,40.697
9.900,-0.352,2.335,-132.041,0.988,0.040,0.009,1031.235,33.241,40.985
9.931,-0.352,2.335,-132.029,0.994,0.039,0.003,1031.235,33.241,40.985
9.967,-0.355,2.334,-132.013,0.993,0.040,0.004,1031.233,33.241,40.985
9.999,-0.353,2.335,-132.006,0.992,0.040,0.007,1031.234,33.241,40.985
10.043,-0.353,2.334,-132.005,0.990,0.043,0.006,1031.233,33.223,40.229
10.096,-0.356,2.334,-131.986,0.993,0.038,0.008,1031.236,33.223,40.229
10.156,-0.360,2.333,-131.980,0.995,0.041,0.010,1031.239,33.186,39.959
10.205,-0.370,2.333,-131.960,0.988,0.038,0.009,1031.240,33.186,39.959
10.249,-0.379,2.336,-131.942,0.989,0.043,0.003,1031.241,33.186,39.959
10.299,-0.375,2.335,-131.947,0.992,0.039,0.002,1031.239,33.132,39.659
10.335,-0.373,2.329,-131.959,0.988,0.043,0.008,1031.242,33.132,39.659
10.371,-0.375,2.334,-131.949,0.990,0.040,0.010,1031.242,33.132,39.659
10.412,-0.381,2.335,-131.934,0.992,0.039,0.003,1031.240,33.168,40.854
10.452,-0.380,2.333,-131.941,0.989,0.040,0.008,1031.241,33.168,40.854
10.491,-0.378,2.332,-131.935,0.993,0.040,0.005,1031.239,33.168,40.854
10.527,-0.375,2.334,-131.938,0.988,0.043,0.010,1031.243,33.168,40.854
10.562,-0.375,2.334,-131.929,0.991,0.040,0.010,1031.243,33.204,40.196
10.593,-0.378,2.333,-131.917,0.989,0.039,0.006,1031.248,33.204,40.196
10.629,-0.381,2.333,-131.897,0.993,0.038,0.000,1031.251,33.204,40.196
10.661,-0.377,2.324,-131.906,0.993,0.043,0.010,1031.252,33.204,40.196
10.697,-0.377,2.328,-131.898,0.990,0.039,0.010,1031.254,33.223,40.879
10.729,-0.377,2.325,-131.892,0.987,0.041,0.006,1031.250,33.223,40.879
10.763,-0.379,2.330,-131.883,0.992,0.036,-0.000,1031.250,33.223,40.879
10.798,-0.374,2.324,-131.890,0.988,0.043,0.008,1031.252,33.223,40.879
10.835,-0.373,2.324,-131.881,0.988,0.041,0.011,1031.246,33.186,38.935
10.869,-0.372,2.327,-131.869,0.994,0.039,0.008,1031.244,33.186,38.935
10.921,-0.379,2.323,-131.864,0.989,0.042,0.008,1031.243,33.186,38.935
10.984,-0.374,2.324,-131.870,0.987,0.042,0.010,1031.239,33.168,39.725
11.032,-0.382,2.330,-131.865,0.988,0.039,0.010,1031.235,33.168,39.725
11.082,-0.383,2.331,-131.868,0.987,0.043,0.002,1031.239,33.078,40.339
11.132,-0.371,2.332,-131.891,0.987,0.041,0.007,1031.239,33.078,40.339
11.168,-0.369,2.329,-131.904,0.988,0.041,0.011,1031.241,33.078,40.339
11.205,-0.376,2.334,-131.887,0.994,0.038,0.008,1031.245,33.223,40.499
11.245,-0.380,2.332,-131.886,0.988,0.040,0.007,1031.249,33.223,40.499
11.285,-0.378,2.331,-131.897,0.995,0.041,0.006,1031.252,33.223,40.499
11.318,-0.376,2.330,-131.898,0.994,0.039,0.001,1031.252,33.223,40.499
11.367,-0.372,2.326,-131.911,0.990,0.040,0.007,1031.253,33.132,39.798
11.417,-0.376,2.324,-131.907,0.993,0.042,0.062,1031.251,33.132,39.798
11.474,-0.443,2.340,-131.781,0.987,0.043,0.002,1031.246,33.204,39.845
11.511,-0.430,2.343,-131.806,0.993,0.042,0.002,1031.250,33.204,39.845
11.546,-0.428,2.349,-131.813,0.988,0.043,0.010,1031.248,33.204,39.845
11.580,-0.427,2.352,-131.819,0.989,0.040,0.007,1031.248,33.204,39.845
11.617,-0.421,2.347,-131.841,0.993,0.039,0.007,1031.249,33.204,40.752
11.648,-0.424,2.348,-131.837,0.995,0.041,0.004,1031.248,33.204,40.752
11.684,-0.423,2.342,-131.851,0.989,0.039,0.002,1031.248,33.204,40.752
11.716,-0.417,2.340,-131.873,0.987,0.045,0.012,1031.249,33.204,40.752
11.752,-0.419,2.342,-131.876,0.990,0.038,0.008,1031.247,33.186,39.297
11.782,-0.420,2.342,-131.882,0.989,0.040,0.002,1031.247,33.186,39.297
11.817,-0.418,2.341,-131.893,0.995,0.040,0.004,1031.250,33.186,39.297
11.854,-0.414,2.343,-131.900,0.989,0.043,0.007,1031.247,33.078,39.352
11.886,-0.407,2.346,-131.905,0.990,0.040,0.009,1031.241,33.078,39.352
11.921,-0.411,2.348,-131.897,0.995,0.041,0.005,1031.240,33.078,39.352
11.953,-0.412,2.350,-131.890,0.993,0.037,-0.000,1031.236,33.078,39.352
12.010,-0.405,2.343,-131.909,0.990,0.041,0.010,1031.238,33.150,40.269
12.065,-0.411,2.336,-131.908,0.994,0.038,0.007,1031.238,33.150,40.269
12.101,-0.414,2.331,-131.918,0.991,0.042,0.008,1031.229,33.150,40.269
12.137,-0.414,2.332,-131.919,0.990,0.039,0.009,1031.228,33.132,41.080
12.179,-0.420,2.331,-131.911,0.994,0.039,0.001,1031.227,33.132,41.080
12.214,-0.416,2.328,-131.929,0.989,0.041,0.009,1031.227,33.132,41.080
12.260,-0.416,2.327,-131.941,0.995,0.039,0.007,1031.228,33.186,40.719
12.304,-0.414,2.324,-131.949,0.988,0.044,0.011,1031.230,33.186,40.719
12.358,-0.417,2.328,-131.937,0.991,0.040,0.002,1031.227,33.186,40.719
12.422,-0.407,2.330,-131.942,0.991,0.039,0.005,1031.228,33.223,39.853
12.468,-0.410,2.322,-131.944,0.990,0.044,0.012,1031.229,33.223,39.853
12.509,-0.420,2.333,-131.925,0.993,0.039,0.007,1031.227,33.204,40.233
12.548,-0.418,2.328,-131.936,0.990,0.040,0.011,1031.223,33.204,40.233
12.583,-0.396,2.327,-131.980,0.999,-0.148,-0.058,1031.221,33.204,40.233
12.618,-1.191,2.125,-131.830,0.982,0.029,0.130,1031.224,33.204,40.233
12.651,-1.620,2.184,-130.469,1.003,0.144,-0.003,1031.229,33.241,39.228
